"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"NKK-M2021SS1W01";1;"POWER";;;
2;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
3;"R1";"R-0207_10";1;"330R";;;
4;"OSHW_Mono_0.25_Scale";"OSHW_Mono_0.25_Scale";1;"UK000006";;;
5;"REF**";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
6;"JP6,JP5,JP4";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper";;;
7;"JBUS5-2,BUS4-2,BUS3-2,BUS2-2,BUS1-2";"pin-2X8";5;"Conn_02x08_Odd_Even";;;
8;"BUS5-1,BUS4-1,BUS3-1,BUS2-1,BUS1-1";"pin-2X32";5;"Conn_02x32_Odd_Even";;;
9;"H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_2.7mm_M2.5";8;"MountingHole";;;
10;"U1";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
11;"LED1";"LED_D5.0mm";1;"PWR GOOD";;;
12;"J4";"USB_Micro-B_Wuerth_614105150721_Vertical";1;"USB_B_Micro";;;
13;"J3";"BarrelJack_Wuerth_6941xx301002";1;"Jack-DC";;;
14;"J2";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
16;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"BAT43";;;
17;"C8";"C_Rect_L7.0mm_W2.0mm_P5.00mm";1;"100nf";;;
18;"C7";"C_Rect_L7.0mm_W2.0mm_P5.00mm";1;"330nf";;;
19;"C6,C5,C4,C3,C2";"C_Rect_L7.0mm_W2.0mm_P5.00mm";5;"100nF";;;
20;"C1";"C-Electrolytic-3,5-10";1;"470uF";;;
